"EVENT_TYPE","TIMESTAMP","REQUEST_ID","ORGANIZATION_ID","USER_ID","CLIENT_ID","SESSION_ID","NETWORK_ID","USER_AGENT","BROWSER_NAME","BROWSER_VERSION","OS_NAME","OS_VERSION","CLIENT","SDK_VERSION","SDK_MODEL","SDK_APP_NAME","SDK_APP_VERSION","SDK_APP_TYPE","REFERRER","REQUEST_METHOD","APP_NAME","CLIENT_IP","LOCATION","ACTION","OBJECT_TYPE","RECORD_ID","TARGET","TARGET2","NUMBER1","NUMBER2","STATUS","DEVICE_ID","CONNECTION_TYPE","SIGNAL_STRENGTH","CARRIER","LATITUDE","LONGITUDE","USAGE_TIMESTAMP","START_TIME","END_TIME","DELTA"
"UITracking","20150730160650.723","3zM47m3yRNcUFbH5Tilu2-","00D30000000V77Y","0053000000Ank29","","b2d/V0N9p2U17NBHThNu6g==","","""SalesforceMobileSDK/3.2.0.unstable iPhone OS/8.4 (iPhone7,2) Analytics/1.4 Native Mozilla/5.0 (iPhone; CPU iPhone OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12H143""","Unknown Webkit Mobile","0","iOS","8.4","""native:bridge:SMALL""","3.2.0.unstable","iPhone7,2","Analytics","1.4","Native","""""","POST","""native:bridge""","204.14.239.53","""home""","""__PRF_assets list_START""","","allapps","""""","""""","","","","FBB1453D-ACFE-4367-890D-5BD7F1DD18DC","OFFLINE","","Verizon","","","20150730160554.639","1438272354640","0","0"
"UITracking","20150730160650.723","3zM47m3yRNcUFbH5Tilu2-","00D30000000V77Y","0053000000Ank29","","b2d/V0N9p2U17NBHThNu6g==","","""SalesforceMobileSDK/3.2.0.unstable iPhone OS/8.4 (iPhone7,2) Analytics/1.4 Native Mozilla/5.0 (iPhone; CPU iPhone OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12H143""","Unknown Webkit Mobile","0","iOS","8.4","""native:bridge:SMALL""","3.2.0.unstable","iPhone7,2","Analytics","1.4","Native","""""","POST","""native:bridge""","204.14.239.53","""home""","""__PRF_assets list_END""","","allapps","""""","""""","","","","FBB1453D-ACFE-4367-890D-5BD7F1DD18DC","WIFI","","Verizon","","","20150730160556.519","1438272354640","1438272356520","1880"
"UITracking","20150730160759.759","3zM4BnHZEYry2bH5Tipog-","00D30000000V77Y","0053000000Ank29","","b2d/V0N9p2U17NBHThNu6g==","","""SalesforceMobileSDK/3.2.0.unstable iPhone OS/8.4 (iPhone7,2) Analytics/1.4 Native Mozilla/5.0 (iPhone; CPU iPhone OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12H143""","Unknown Webkit Mobile","0","iOS","8.4","""native:bridge:SMALL""","3.2.0.unstable","iPhone7,2","Analytics","1.4","Native","""""","POST","""native:bridge""","204.14.239.53","""dashboard""","""__PRF_view dashboard_START""","Lens","0FK30000000GmdmGAC","""""","""""","","","","FBB1453D-ACFE-4367-890D-5BD7F1DD18DC","WIFI","","Verizon","","","20150730160730.166","1438272450166","0","0"
"UITracking","20150730160759.763","3zM4BnHZEYry2bH5Tipog-","00D30000000V77Y","0053000000Ank29","","b2d/V0N9p2U17NBHThNu6g==","","""SalesforceMobileSDK/3.2.0.unstable iPhone OS/8.4 (iPhone7,2) Analytics/1.4 Native Mozilla/5.0 (iPhone; CPU iPhone OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12H143""","Unknown Webkit Mobile","0","iOS","8.4","""native:bridge:SMALL""","3.2.0.unstable","iPhone7,2","Analytics","1.4","Native","""""","POST","""native:bridge""","204.14.239.53","""widget""","""__PRF_view widget_START""","Lens","0FK30000000GmdmGAC","""""","""""","","","","FBB1453D-ACFE-4367-890D-5BD7F1DD18DC","WIFI","","Verizon","","","20150730160749.939","1438272469939","0","0"
"UITracking","20150730160759.763","3zM4BnHZEYry2bH5Tipog-","00D30000000V77Y","0053000000Ank29","","b2d/V0N9p2U17NBHThNu6g==","","""SalesforceMobileSDK/3.2.0.unstable iPhone OS/8.4 (iPhone7,2) Analytics/1.4 Native Mozilla/5.0 (iPhone; CPU iPhone OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12H143""","Unknown Webkit Mobile","0","iOS","8.4","""native:bridge:SMALL""","3.2.0.unstable","iPhone7,2","Analytics","1.4","Native","""""","POST","""native:bridge""","204.14.239.53","""dashboard""","""__PRF_view dashboard_END""","Lens","0FK30000000GmdmGAC","""""","""""","","","","FBB1453D-ACFE-4367-890D-5BD7F1DD18DC","WIFI","","Verizon","","","20150730160735.826","1438272450166","1438272455827","5661"
"UITracking","20150730160759.764","3zM4BnHZEYry2bH5Tipog-","00D30000000V77Y","0053000000Ank29","","b2d/V0N9p2U17NBHThNu6g==","","""SalesforceMobileSDK/3.2.0.unstable iPhone OS/8.4 (iPhone7,2) Analytics/1.4 Native Mozilla/5.0 (iPhone; CPU iPhone OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12H143""","Unknown Webkit Mobile","0","iOS","8.4","""native:bridge:SMALL""","3.2.0.unstable","iPhone7,2","Analytics","1.4","Native","""""","POST","""native:bridge""","204.14.239.53","""widget""","""__PRF_view widget_END""","Lens","0FK30000000GmdmGAC","""""","""""","","","","FBB1453D-ACFE-4367-890D-5BD7F1DD18DC","WIFI","","Verizon","","","20150730160750.600","1438272469939","1438272470600","661"
"UITracking","20150730181539.420","3zMB9caQU7EMFrH5Tim-y-","00D30000000V77Y","0053000000Ank29","","b2d/V0N9p2U17NBHThNu6g==","","""SalesforceMobileSDK/3.2.0.unstable iPhone OS/8.4 (iPhone7,2) Analytics/1.4 Native Mozilla/5.0 (iPhone; CPU iPhone OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12H143""","Unknown Webkit Mobile","0","iOS","8.4","""native:bridge:SMALL""","3.2.0.unstable","iPhone7,2","Analytics","1.4","Native","""""","POST","""native:bridge""","70.214.5.238","""home""","""__PRF_assets list_END""","","allapps","""""","""""","","","","FBB1453D-ACFE-4367-890D-5BD7F1DD18DC","OFFLINE","","Verizon","","","20150730181509.228","1438280109114","1438280109229","115"
"UITracking","20150730181539.420","3zMB9caQU7EMFrH5Tim-y-","00D30000000V77Y","0053000000Ank29","","b2d/V0N9p2U17NBHThNu6g==","","""SalesforceMobileSDK/3.2.0.unstable iPhone OS/8.4 (iPhone7,2) Analytics/1.4 Native Mozilla/5.0 (iPhone; CPU iPhone OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12H143""","Unknown Webkit Mobile","0","iOS","8.4","""native:bridge:SMALL""","3.2.0.unstable","iPhone7,2","Analytics","1.4","Native","""""","POST","""native:bridge""","70.214.5.238","""home""","""__PRF_assets list_START""","","allapps","""""","""""","","","","FBB1453D-ACFE-4367-890D-5BD7F1DD18DC","OFFLINE","","Verizon","","","20150730181509.111","1438280109114","0","0"
"UITracking","20150730181539.421","3zMB9caQU7EMFrH5Tim-y-","00D30000000V77Y","0053000000Ank29","","b2d/V0N9p2U17NBHThNu6g==","","""SalesforceMobileSDK/3.2.0.unstable iPhone OS/8.4 (iPhone7,2) Analytics/1.4 Native Mozilla/5.0 (iPhone; CPU iPhone OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12H143""","Unknown Webkit Mobile","0","iOS","8.4","""native:bridge:SMALL""","3.2.0.unstable","iPhone7,2","Analytics","1.4","Native","""""","POST","""native:bridge""","70.214.5.238","""home""","""__PRF_assets list_END""","Folder","00l30000003ORKCAA4","""""","""""","","","","FBB1453D-ACFE-4367-890D-5BD7F1DD18DC","LTE","","Verizon","","","20150730181518.171","1438280118137","1438280118171","34"
"UITracking","20150730181539.421","3zMB9caQU7EMFrH5Tim-y-","00D30000000V77Y","0053000000Ank29","","b2d/V0N9p2U17NBHThNu6g==","","""SalesforceMobileSDK/3.2.0.unstable iPhone OS/8.4 (iPhone7,2) Analytics/1.4 Native Mozilla/5.0 (iPhone; CPU iPhone OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12H143""","Unknown Webkit Mobile","0","iOS","8.4","""native:bridge:SMALL""","3.2.0.unstable","iPhone7,2","Analytics","1.4","Native","""""","POST","""native:bridge""","70.214.5.238","""dashboard""","""__PRF_view dashboard_START""","Lens","0FK30000000GmbXGAS","""""","""""","","","","FBB1453D-ACFE-4367-890D-5BD7F1DD18DC","LTE","","Verizon","","","20150730181533.071","1438280133072","0","0"
